,date,average block size,difficulty,estimated transaction volumes in usd,estimated transaction volumes,hash rate,market capitalization,miners revenues,number of orphaned blocks,number of transactions per blocks,number of unique addresses,total bitcoins,trade volumes,transaction fees,price
0,2017-01-07 00:00:00,0.9873366330935252,317688400354.0,310258543.03984666,344066.51921823,2195140.269532626,14507903240.25,1583004.57,1583004.57,2048.338129496403,503340.0,16088787.5,16088787.5,107.13664320000001,896.830375
1,2017-01-08 00:00:00,0.8104194371257485,317688400354.0,211475099.03853697,230638.88390195,2637326.7986471117,14753884196.25,1915883.445,1915883.445,1557.491017964072,455738.0,16090875.0,16090875.0,91.2413482,908.1490375
2,2017-01-09 00:00:00,0.923003161764706,317688400354.0,267769180.272303,297521.31141367,2147763.1414132165,14483317500.0,1548900.0,1548900.0,1984.9044117647054,475571.0,16092575.0,16092575.0,102.04592665,894.18025
3,2017-01-10 00:00:00,0.9597204875,319489481520.3437,284257957.75442654,311898.39337535,2679581.839590968,14668273763.5,1842810.36,1842810.36,2024.3,541167.0,16094575.0,16094575.0,119.94087094,906.0569142857142
4,2017-01-11 00:00:00,0.9230163529411765,336899932795.0,389299060.467785,495840.25634963,2562350.134108864,12637835230.875,1522759.635,1522759.635,1980.7712418300653,491692.0,16096487.5,16096487.5,111.82087465,785.2237375
5,2017-01-12 00:00:00,0.8028143236994221,336899932795.0,317369300.8886888,394742.84616561,2897297.864057734,12943143563.625,1750688.225,1750688.225,1721.1329479768783,483077.0,16098637.5,16098637.5,106.35637276,803.372375
6,2017-01-13 00:00:00,0.8415314701986755,336899932795.0,256962364.99101567,310296.05007851,2528855.3611139767,13333156411.5,1577154.54,1577154.54,1822.17880794702,466560.0,16100512.5,16100512.5,97.90853957,826.2956625
7,2017-01-14 00:00:00,0.7427666395348836,336899932795.0,154658301.41558063,189694.9606471,2880550.47756029,13128500736.25,1759417.4,1759417.4,1408.5406976744187,446468.0,16102662.5,16102662.5,86.85666196,817.912875
8,2017-01-15 00:00:00,0.6770676586826347,336899932795.0,159034173.05097103,193769.24854518,2796813.5450730724,13217812515.0,1716577.71,1716577.71,1413.167664670659,417278.0,16104750.0,16104750.0,82.22432059,822.2076
9,2017-01-16 00:00:00,0.7583347988165681,336899932795.0,207038818.87757903,249414.31017658,2830308.3180679604,13370306561.25,1769358.15,1769358.15,1583.6686390532543,473646.0,16106862.5,16106862.5,103.64270285,830.505125
10,2017-01-17 00:00:00,0.900242,336899932795.0,292157921.607734,323187.1166802,2646087.06659608,14562228011.625,1808883.99,1808883.99,1852.5126582278479,502461.0,16108837.5,16108837.5,109.39305302,903.84575
11,2017-01-18 00:00:00,0.8945323377483444,336899932795.0,259176379.4801728,295532.82797803,2528855.3611139767,14128772648.25,1672839.35,1672839.35,1978.4834437086088,500305.0,16110712.5,16110712.5,108.62581158,874.9949625
12,2017-01-19 00:00:00,0.8343687413793104,336899932795.0,234505943.28577545,260588.21802822,2914045.250555178,14500148590.125,1969902.99,1969902.99,1727.6149425287354,516338.0,16112887.5,16112887.5,112.3957332,895.798875
13,2017-01-20 00:00:00,0.7222727936507937,336899932795.0,230407548.73571,256692.90188916,3165256.0480168317,14465048400.0,2134044.0,2134044.0,1578.7142857142858,516009.0,16115250.0,16115250.0,104.84963495,893.6210875
14,2017-01-21 00:00:00,0.6930888342541436,336899932795.0,206063844.49538356,222988.6857433,3031276.956037284,14894193301.25,2095396.75,2095396.75,1456.1436464088395,484668.0,16117512.5,16117512.5,94.58963263,920.4479
15,2017-01-22 00:00:00,0.6745597816091954,339477557142.08044,210976459.03377575,229821.85079932,3398969.8922646875,14797873125.0,2002158.0,2002158.0,1361.4137931034486,428797.0,16119687.5,16119687.5,87.11486550000001,918.603625
16,2017-01-23 00:00:00,0.9093341007194244,392963262344.0,198400469.237764,215184.89071341,2715269.0518666185,14863942325.0,1639777.0,1639777.0,1702.8201438848919,426712.0,16121412.5,16121412.5,110.16262179,922.0736125
17,2017-01-24 00:00:00,0.9736577046979864,392963262344.0,234204104.0073993,263431.86998189,2910612.1491232086,14334397638.75,1723423.4249999996,1723423.4249999996,1866.959731543624,497858.0,16123275.0,16123275.0,143.1652105,890.320225
18,2017-01-25 00:00:00,0.9879089266666669,392963262344.0,271755757.07840174,304488.2432251,2930146.458848869,14391685218.75,1721632.5,1721632.5,2039.74,514638.0,16125137.5,16125137.5,135.60681540000002,893.045625
19,2017-01-26 00:00:00,0.9932012165605096,392963262344.0,230425627.04952404,251581.08007285,3066886.6269284827,14770949263.25,1834109.775,1834109.775,2024.8662420382168,518118.0,16127075.0,16127075.0,125.18892663,915.95625
20,2017-01-27 00:00:00,0.8376798058823529,392963262344.0,172944033.54642877,188459.94044311,3320832.65336205,14801282964.0,1976661.18,1976661.18,1549.0117647058826,462950.0,16129200.0,16129200.0,114.04371837,919.27975
21,2017-01-28 00:00:00,0.8774656842105264,392963262344.0,110954977.31500764,120787.04258111,2969215.0783001864,14818028460.0,1787595.6,1787595.6,1621.0197368421052,461291.0,16131100.0,16131100.0,122.5350693,920.31225
22,2017-01-29 00:00:00,0.8624916467065867,392963262344.0,130997412.19231722,143425.20631994,3262229.7241850733,14735246803.125,1944065.475,1944065.475,1446.868263473054,438727.0,16133187.5,16133187.5,119.8377983,915.933
23,2017-01-30 00:00:00,0.9557019657534248,392963262344.0,147934759.57472157,161054.23778466,2852009.2199462317,14820631418.25,1736959.14,1736959.14,1718.0068493150684,449341.0,16134987.5,16134987.5,137.40589477,921.179325
24,2017-01-31 00:00:00,0.9595463241379312,392963262344.0,219553619.75286385,227771.61979507,2832474.9102205737,15554584256.0,1817471.16,1817471.16,2121.9517241379317,523036.0,16136800.0,16136800.0,145.66158893,964.706075
25,2017-02-01 00:00:00,0.9622894270833332,392963262344.0,265703457.6901082,271145.34475943,3750587.467326551,15815286256.0,2400828.5,2400828.5,1825.833333333333,599052.0,16139200.0,16139200.0,154.9165724,979.703875
26,2017-02-02 00:00:00,0.913956592356688,392963262344.0,208080409.7975085,206551.92554845,3066886.6269284827,16260607102.5,2047540.5,2047540.5,1653.2420382165603,452585.0,16141162.5,16141162.5,142.30055361,1007.6137125
27,2017-02-03 00:00:00,0.970819201342282,392963262344.0,267715754.14082852,264280.11267604,2910612.1491232086,16352884325.0,1970791.5,1970791.5,2171.5637583892617,560374.0,16143025.0,16143025.0,162.42120704,1013.0269999999999
28,2017-02-04 00:00:00,0.952473055172414,393567551403.4276,219852279.33450317,212973.24356728,3043000.8428698913,16666302847.5,1935046.35,1935046.35,1974.6620689655167,500098.0,16144825.0,16144825.0,139.35303348,1030.9994125
